,filename,text_length,lexical_density,average_sentence_length,average_word_length,oov_word_counts,reading_ease,punctuation_count,type_token_ratio,asian_context_feature,asian_imp_word,non_asian_imp_word,noun_counts,verb_counts,adjective_counts,target_region
55,125465,30,0.5666666666666667,10.0,4.633333333333334,2,50.045000000000016,4,0.24,0,0,0,10,7,0,0
56,125468,63,0.6349206349206349,15.75,4.111111111111111,3,72.67732142857143,6,0.49,0,0,0,20,9,7,0
57,126466,96,0.65625,48.0,4.375,6,32.977500000000006,13,0.65,0,1,1,17,22,12,0
58,127137,274,0.5766423357664233,13.7,4.062043795620438,14,72.20468248175185,38,0.63,1,0,0,67,44,26,0
59,128171,40,0.725,5.714285714285714,4.5,3,80.48,7,0.34,0,0,0,15,7,5,1
60,12872,48,0.7291666666666666,48.0,4.416666666666667,5,20.640000000000015,3,0.38,1,1,1,21,9,5,1
61,12912,187,0.5294117647058824,37.4,3.855614973262032,3,59.84405347593585,16,0.74,0,0,0,42,34,13,0
62,129636,39,0.6666666666666666,19.5,3.717948717948718,1,85.08865384615387,4,0.34,0,1,0,9,11,3,0
63,129748,53,0.6415094339622641,13.25,4.150943396226415,1,68.88058962264155,6,0.44,0,0,0,10,8,10,1
64,129764,108,0.6203703703703703,9.0,4.0,6,75.50000000000003,15,0.72,0,1,0,24,24,9,1
65,130112,61,0.8032786885245902,20.333333333333332,4.737704918032787,4,25.317978142076555,8,0.48,1,1,0,31,11,5,1
66,130663,48,0.75,48.0,4.791666666666667,3,1.2525000000000261,1,0.44,0,0,0,18,9,7,1
67,130835,227,0.5991189427312775,16.214285714285715,4.171806167400881,9,67.39071585903085,27,0.78,0,1,1,47,55,16,1
68,131257,22,0.8181818181818182,22.0,4.681818181818182,0,46.06863636363636,1,0.19,0,0,0,6,7,5,1
69,131341,14,0.8571428571428571,4.666666666666667,3.7142857142857144,0,93.32690476190476,2,0.11,0,0,0,6,1,3,1
70,131365,16,0.625,8.0,4.3125,2,77.1025,2,0.15,0,0,0,3,4,1,1
71,131522,129,0.6356589147286822,11.727272727272727,4.1937984496124034,7,61.801585623678676,24,0.74,1,1,1,38,23,13,0
72,13161,42,0.7142857142857143,14.0,8.523809523809524,4,17.382142857142867,2,0.39,0,0,0,9,11,5,1
73,131666,25,0.64,8.333333333333334,4.36,0,73.16866666666668,5,0.2,0,0,0,8,7,1,1
74,13202,129,0.5891472868217055,16.125,3.86046511627907,5,81.60300872093025,18,0.66,0,1,0,21,27,18,1
75,132123,41,0.6585365853658537,41.0,4.170731707317073,4,41.41512195121955,5,0.33,0,0,0,12,8,3,1
76,132935,89,0.6179775280898876,11.125,4.01123595505618,6,74.82177668539327,11,0.66,0,1,1,27,15,8,0
77,133451,37,0.4864864864864865,37.0,3.5405405405405403,3,68.6745945945946,3,0.28,0,1,0,7,10,1,1
78,133931,98,0.5816326530612245,9.8,4.408163265306122,4,79.48391836734696,19,0.71,0,0,0,17,25,7,0
79,134653,37,0.5135135135135135,37.0,4.0,0,59.528648648648655,2,0.3,0,0,0,7,8,2,0
80,13471,116,0.6293103448275862,11.6,4.672413793103448,6,51.38686206896554,15,0.64,1,1,0,32,22,11,1
81,134787,36,0.6666666666666666,12.0,3.7777777777777777,2,95.955,3,0.26,0,0,0,8,11,1,0
82,134880,45,0.5777777777777777,11.25,4.2444444444444445,2,60.056250000000034,5,0.3,0,0,0,14,7,2,0
83,135076,244,0.5737704918032787,40.666666666666664,4.188524590163935,15,43.16571038251368,26,0.69,1,1,0,45,48,28,0
84,135346,79,0.5822784810126582,15.8,4.139240506329114,5,68.71698734177217,8,0.55,0,0,1,16,19,7,1
85,135380,101,0.5643564356435643,33.666666666666664,3.891089108910891,7,66.28511551155118,10,0.72,0,0,1,23,19,6,0
86,135953,198,0.5757575757575758,18.0,4.1767676767676765,15,64.22863636363637,15,0.67,0,1,0,48,38,16,1
87,136005,120,0.6166666666666667,24.0,4.058333333333334,4,65.44500000000004,21,0.69,0,0,1,30,22,14,0
88,136207,164,0.5914634146341463,32.8,4.158536585365853,3,57.4759268292683,21,0.8,0,1,0,27,40,12,0
89,13665,81,0.6172839506172839,20.25,4.271604938271605,1,61.99236111111111,9,0.64,1,1,1,21,17,8,1
90,137195,33,0.6060606060606061,16.5,4.0606060606060606,1,77.28750000000002,2,0.28,0,1,1,5,9,4,1
91,137318,905,0.5779005524861879,16.160714285714285,4.47292817679558,36,63.48513466850832,103,0.64,0,1,1,209,179,68,0
92,137420,21,0.6190476190476191,21.0,3.4285714285714284,0,80.77714285714288,3,0.16,0,0,0,3,5,2,0
93,13811,30,0.6,30.0,4.6,2,32.565000000000026,1,0.27,0,0,0,6,9,0,1
94,138274,272,0.5588235294117647,13.6,4.007352941176471,15,78.57217647058825,34,0.8,1,1,1,56,49,25,0
95,138828,88,0.5795454545454546,88.0,4.329545454545454,8,-13.230454545454506,5,0.68,0,0,1,12,21,8,1
96,13948,61,0.6229508196721312,20.333333333333332,3.6885245901639343,1,79.40650273224045,10,0.47,0,0,0,13,14,5,0
97,140058,57,0.5964912280701754,19.0,4.614035087719298,1,55.45526315789476,8,0.44,0,0,0,8,18,4,0
98,141272,92,0.532608695652174,13.142857142857142,3.8043478260869565,2,83.14717391304349,16,0.63,0,1,0,21,16,5,0
99,141545,100,0.62,25.0,3.75,4,67.25000000000001,13,0.65,0,0,1,24,26,7,0
100,141960,42,0.40476190476190477,21.0,3.6904761904761907,2,78.76285714285716,2,0.31,0,1,0,2,10,1,0
101,142314,82,0.6341463414634146,41.0,4.2682926829268295,1,47.60536585365858,6,0.54,1,0,0,20,18,11,1
102,142384,54,0.5925925925925926,18.0,4.185185185185185,4,71.06500000000001,6,0.39,0,1,0,13,11,5,0
103,142580,67,0.6268656716417911,33.5,4.119402985074627,4,54.13996268656717,3,0.51,0,1,0,17,17,6,0
104,142726,20,0.95,20.0,4.95,3,34.255000000000024,0,0.16,0,0,0,7,5,5,1
105,14549,156,0.5705128205128205,11.142857142857142,3.9743589743589745,13,81.64038461538462,23,0.77,0,0,0,38,29,14,1
106,14588,17,0.5882352941176471,17.0,3.411764705882353,0,80.09764705882354,1,0.11,0,0,0,4,4,0,1
107,146022,21,0.5714285714285714,21.0,4.285714285714286,0,72.72000000000003,0,0.16,0,0,0,5,5,2,1
108,147166,42,0.5952380952380952,42.0,4.0476190476190474,4,59.46214285714288,3,0.33,0,0,0,11,7,5,0
109,147424,107,0.5887850467289719,21.4,3.9813084112149535,2,72.05044859813086,7,0.68,0,1,0,21,23,10,0
110,148926,74,0.6081081081081081,12.333333333333334,4.54054054054054,4,57.12747747747747,16,0.59,0,1,0,17,11,7,0
111,149352,58,0.4827586206896552,58.0,3.793103448275862,2,45.86155172413794,4,0.42,0,0,0,5,12,5,0
112,151386,420,0.5833333333333334,24.705882352941178,4.938095238095238,31,35.11852941176474,55,0.75,1,1,1,159,55,23,0
113,151405,91,0.5494505494505495,15.166666666666666,4.1208791208791204,8,77.09138278388278,10,0.63,0,1,1,19,20,6,1
114,151815,17,0.7058823529411765,17.0,4.823529411764706,0,60.19176470588238,1,0.16,0,0,0,5,4,2,1
115,152319,199,0.6482412060301508,199.0,3.763819095477387,8,-94.6293969849246,20,0.78,0,1,1,46,43,21,0
116,153216,230,0.5695652173913044,38.333333333333336,4.147826086956521,12,46.176231884058,28,0.68,0,1,0,58,40,15,0
117,154442,212,0.589622641509434,53.0,4.089622641509434,11,32.92396226415097,19,0.75,0,1,1,45,46,14,0
118,155096,35,0.6857142857142857,17.5,4.085714285714285,0,68.21535714285717,13,0.27,0,0,0,6,12,3,1
119,155544,10,0.8,10.0,8.8,0,95.165,2,0.09,0,0,0,3,2,1,0
120,155746,13,0.6153846153846154,13.0,6.153846153846154,1,24.440000000000026,0,0.13,0,0,0,5,2,1,1
121,156258,43,0.6511627906976745,10.75,4.325581395348837,0,83.7795639534884,18,0.35,0,1,0,14,8,3,1
122,156338,278,0.5359712230215827,21.384615384615383,3.9928057553956835,8,70.70659380188158,34,0.72,0,1,1,61,49,18,0
123,156960,41,0.7317073170731707,41.0,4.414634146341464,3,26.971219512195177,2,0.3,0,0,0,18,9,1,0
124,157821,93,0.5483870967741935,23.25,4.10752688172043,3,64.06850806451614,33,0.63,0,0,0,38,8,7,0
125,158348,218,0.573394495412844,9.478260869565217,4.3119266055045875,10,71.47878540087756,30,0.74,0,1,0,48,43,16,0
126,158494,45,0.5555555555555556,7.5,3.8444444444444446,4,112.7425,9,0.32,0,1,0,10,10,2,1
127,158502,137,0.5474452554744526,15.222222222222221,3.795620437956204,4,85.17130575831307,15,0.75,0,0,1,21,30,11,0
128,159408,39,0.6410256410256411,13.0,4.487179487179487,2,56.97846153846157,5,0.31,0,1,0,14,8,3,0
129,16007,54,0.48148148148148145,54.0,5.092592592592593,3,-1.5083333333333258,9,0.38,0,0,0,13,7,4,0
130,160539,114,0.5263157894736842,12.666666666666666,3.9035087719298245,3,80.43622807017547,16,0.68,0,1,0,18,23,10,0
131,160623,101,0.7128712871287128,14.428571428571429,4.643564356435643,3,57.33257425742573,14,0.69,0,1,0,29,25,15,1
132,160774,90,0.5555555555555556,45.0,3.9444444444444446,2,45.540000000000035,7,0.62,0,1,1,12,21,6,0
133,16267,26,0.6538461538461539,26.0,5.076923076923077,0,66.56038461538463,1,0.21,0,0,0,11,5,1,0
134,163035,83,0.6144578313253012,27.666666666666668,4.421686746987952,3,38.093092369477915,6,0.6,0,1,1,25,17,6,0
135,16429,37,0.6486486486486487,12.333333333333334,4.324324324324325,2,63.98693693693693,5,0.31,0,0,0,10,9,3,0
136,166052,6,0.5,6.0,4.0,0,73.84500000000001,1,0.06,0,0,0,1,1,1,1
137,166086,60,0.7666666666666667,30.0,4.6,2,41.025000000000034,4,0.44,1,0,0,20,15,9,0
138,166160,21,0.7142857142857143,4.2,3.857142857142857,2,85.74342857142858,4,0.21,0,1,0,6,6,3,0
139,166631,83,0.5301204819277109,20.75,4.0120481927710845,4,73.65326807228917,8,0.63,0,0,1,16,16,8,0
140,167262,107,0.5607476635514018,53.5,4.11214953271028,7,36.30633177570097,12,0.77,0,0,0,23,22,12,0
141,167307,84,0.5833333333333334,16.8,4.154761904761905,1,58.8544285714286,12,0.52,0,1,1,17,16,9,1
142,167590,477,0.559748427672956,21.681818181818183,3.909853249475891,16,72.91474699828476,52,0.77,1,1,1,95,87,29,0
143,168013,421,0.6437054631828979,60.142857142857146,5.4560570071258905,24,-16.17579572446553,56,0.78,0,1,1,172,34,55,0
144,168160,30,0.5333333333333333,30.0,3.7666666666666666,0,74.86500000000002,1,0.19,0,0,0,8,4,2,0
